Channel,delta,theta,alpha,beta,gamma,max_energy_band,Frontal Lobe,Temporal Lobe,Parietal Lobe,Occipital Lobe,Central Region,Region
Af8,5.2590041131752553e-08,2.922398322601705e-09,7.580260048593224e-10,1.2881651055973695e-09,8.671359536390821e-10,delta,1,0,0,0,0,Frontal Lobe
F7,1.3735544251719062e-08,1.6216003269520205e-09,4.5119746134856006e-10,9.60326076150328e-10,5.262860445209307e-10,delta,1,0,0,0,0,Frontal Lobe
F5,1.2848650341821662e-08,1.516995599431104e-09,6.314296890672308e-10,1.0275199009603577e-09,5.467823309702439e-10,delta,1,0,0,0,0,Frontal Lobe
F3,8.438377123881307e-09,1.198498928880916e-09,8.352841461546289e-10,8.388191007279189e-10,2.9115518870841727e-10,delta,1,0,0,0,0,Frontal Lobe
F1,7.859538521667916e-09,1.1066429465217948e-09,9.584517008329143e-10,8.41393341324662e-10,2.3128221208316447e-10,delta,1,0,0,0,0,Frontal Lobe
Fz,8.361200048067214e-09,1.1297710225547454e-09,1.0374591995975322e-09,8.47456694975151e-10,2.074321937147734e-10,delta,1,0,0,0,0,Frontal Lobe
F2,1.028025903091237e-08,1.2119840902203301e-09,9.537343588942288e-10,8.02517294621966e-10,1.9382077804718459e-10,delta,1,0,0,0,0,Frontal Lobe
F4,1.1251653795083405e-08,1.1979498932296468e-09,8.857863688466403e-10,8.079360423136994e-10,2.016039364816318e-10,delta,1,0,0,0,0,Frontal Lobe
F6,1.9403286166765644e-08,1.5116363854425316e-09,6.918325439720572e-10,9.80520837725165e-10,3.910731713059107e-10,delta,1,0,0,0,0,Frontal Lobe
F8,2.663447927334045e-08,1.4780016211457666e-09,3.9022444150422986e-10,6.878498444135613e-10,3.9100669848764884e-10,delta,1,0,0,0,0,Frontal Lobe
Ft7,4.823908203142105e-09,7.260548237304196e-10,3.0490779473245875e-10,5.966533641944305e-10,3.3133588986715837e-10,delta,1,1,0,0,0,Frontal-Temporal
Ft8,9.845951977601668e-09,5.658365339936311e-10,2.708781738575245e-10,6.689423821790642e-10,3.7221587628589074e-10,delta,1,1,0,0,0,Frontal-Temporal
T7,2.5252319529556278e-09,4.405132057270683e-10,5.440003334983118e-10,5.920794423116434e-09,6.15969992031661e-09,gamma,0,1,0,0,0,Temporal Lobe
T8,3.3552173614038965e-09,2.9784642342988294e-10,3.5834520831240015e-10,1.1161644580265845e-09,8.153705620578783e-10,delta,0,1,0,0,0,Temporal Lobe
T9,3.3791995726754595e-09,4.24965488413696e-10,2.0676007494219925e-10,5.082627382781469e-10,3.65771454442666e-10,delta,0,1,0,0,0,Temporal Lobe
T10,1.8699602302185635e-09,1.2738422376071925e-10,9.140080459245068e-11,4.510169998221219e-10,4.725616202225422e-10,delta,0,1,0,0,0,Temporal Lobe
Tp7,1.7543139804915205e-09,3.5041380244407237e-10,3.264009306592509e-10,6.415247389649325e-10,4.748332922954941e-10,delta,0,1,1,0,0,Parietal Lobe
Tp8,1.3143634229435732e-09,1.81250384193383e-10,3.567069242970817e-10,3.304060293913625e-10,2.4607309270898773e-10,delta,0,1,1,0,0,Parietal Lobe
P7,1.389436918598428e-09,3.689006865567376e-10,4.400960809973005e-10,6.155349519216317e-10,2.1946439656912284e-10,delta,0,0,1,0,0,Parietal Lobe
P5,2.2563550761668056e-09,6.244613561024085e-10,6.157430676637832e-10,8.262002471781262e-10,2.1746991775104683e-10,delta,0,0,1,0,0,Parietal Lobe
P3,1.708340580754211e-09,4.89352122775299e-10,9.213177500385232e-10,8.59533314410309e-10,2.0911484231673946e-10,delta,0,0,1,0,0,Parietal Lobe
P1,1.6584513807714166e-09,5.353122671320387e-10,1.2244132718100211e-09,9.68146428357454e-10,1.907133646464137e-10,delta,0,0,1,0,0,Parietal Lobe
Pz,1.6808300792858206e-09,5.858980548841736e-10,1.6263232305218936e-09,1.1942211180089726e-09,2.1078164974580624e-10,delta,0,0,1,0,0,Parietal Lobe
P2,1.4829912861263006e-09,6.009868975511946e-10,1.5289769928427981e-09,1.0029789224627428e-09,2.0029841120817211e-10,alpha,0,0,1,0,0,Parietal Lobe
P4,1.4447711830811637e-09,4.2042397277756883e-10,1.2222830336910322e-09,8.072502316264847e-10,1.9886532657069844e-10,delta,0,0,1,0,0,Parietal Lobe
P6,1.116795022301346e-09,3.575468359965165e-10,9.346324901790786e-10,6.172539118171809e-10,2.2725114187632344e-10,delta,0,0,1,0,0,Parietal Lobe
P8,8.492439600892575e-10,2.1784464877091888e-10,6.26610035307462e-10,4.519667289194403e-10,2.533685207815974e-10,delta,0,0,1,0,0,Parietal Lobe
Po7,1.3056429049602183e-09,3.9711625244478024e-10,7.196509145519995e-10,8.964898790209743e-10,2.532528467599256e-10,delta,0,0,0,1,0,Occipital Lobe
Po3,2.507685614692676e-09,5.968088754168896e-10,9.20836365334825e-10,1.005198540111319e-09,2.3079265829836082e-10,delta,0,0,0,1,0,Occipital Lobe
Poz,1.8112184105811997e-09,6.541939292858032e-10,1.6538348779115692e-09,1.2243634626195443e-09,2.2769852335728728e-10,delta,0,0,0,1,0,Occipital Lobe
Po4,1.106589881274234e-09,4.228067637755364e-10,1.3389551037949373e-09,8.349531693934338e-10,2.282211001678367e-10,alpha,0,0,0,1,0,Occipital Lobe
Po8,9.728483035076187e-10,3.6165025356934366e-10,1.4264718880939913e-09,9.295872883262687e-10,3.321741737031337e-10,alpha,0,0,0,1,0,Occipital Lobe
O1,2.415913162937347e-09,8.372168876632593e-10,1.2855141484035693e-09,1.2788488236080972e-09,2.919893532849773e-10,delta,0,0,0,1,0,Occipital Lobe
Oz,1.0414602663301363e-09,3.9007202713205353e-10,9.338682166741933e-10,9.390992214083766e-10,3.490835399843682e-10,delta,0,0,0,1,0,Occipital Lobe
O2,1.2795831711621277e-09,5.655114830185074e-10,2.092966207926732e-09,1.719867043845314e-09,5.956107399208545e-10,alpha,0,0,0,1,0,Occipital Lobe
Iz,1.0351032343808976e-09,3.902945614598406e-10,9.271075002845736e-10,9.353290244410664e-10,3.542930415361526e-10,delta,0,0,0,1,0,Occipital Lobe
