Channel,delta,theta,alpha,beta,gamma,max_energy_band,Frontal Lobe,Temporal Lobe,Parietal Lobe,Occipital Lobe,Central Region
O1,6.069763660262728e-10,1.5339056703970808e-10,1.0671960997658914e-10,8.950670081094876e-11,6.72293799004714e-11,delta,0,0,0,1,0
Oz,6.190470017698981e-10,1.542419102615219e-10,1.0678198772270087e-10,8.776073428799637e-11,6.319301599867504e-11,delta,0,0,0,1,0
O2,6.19444549522006e-10,1.5419076856452553e-10,1.0685580960421227e-10,8.754228517717174e-11,6.326573952311873e-11,delta,0,0,0,1,0
P4,1.1473327037745302e-10,9.857917300459091e-11,8.690157490129913e-11,5.2938193731734475e-11,3.64690416256704e-11,delta,0,0,1,0,0
P8,6.172108102278369e-10,1.5410687271307958e-10,1.0653691246680789e-10,8.728392366169744e-11,6.280816373284636e-11,delta,0,0,1,0,0
Tp10,3.842770157826825e-10,1.5729626975655143e-10,1.1681415591437903e-10,1.6630768207591294e-10,1.3104721205046838e-10,delta,0,1,1,0,0
Cp6,7.248351359623189e-11,7.814598918961625e-11,8.122637164125007e-11,2.1961835741733062e-10,2.52461834288386e-10,gamma,0,0,1,0,1
Cp2,1.3698034953562371e-11,1.3179534065240981e-11,1.957541031046816e-11,3.36223855999258e-11,2.939970790448232e-11,beta,0,0,1,0,1
Cz,1.3986116303569608e-10,4.446139348483331e-11,3.080991851713775e-11,4.342034797664537e-11,1.4459422441605568e-11,delta,0,0,0,0,1
C4,1.7940304570791718e-10,7.42303747512665e-11,1.1156076534295816e-10,9.360663579178056e-10,1.072385069794456e-09,gamma,0,0,0,0,1
T8,5.87336527294303e-10,9.877333599660752e-11,8.977045713727907e-11,1.7015620942528854e-10,1.7675675836952954e-10,delta,0,1,0,0,0
Ft10,6.710772210974922e-10,1.8584153292130718e-10,1.3504409689926942e-10,2.846902071603734e-10,2.6539897634028826e-10,delta,1,1,0,0,0
Fc6,5.833068909681786e-10,1.0864265891831403e-10,1.1158330887814634e-10,6.31074034139859e-10,8.550328226504143e-10,gamma,1,0,0,0,1
Fc2,5.298423582323448e-10,9.24260548537627e-11,6.864356897267746e-11,1.7327673851283012e-10,1.4504993048728192e-10,delta,1,0,0,0,1
F4,1.8554605311909275e-09,1.945325463385461e-10,8.764473562748053e-11,3.0556573192500915e-10,2.574038775852191e-10,delta,1,0,0,0,0
F8,7.067222878138628e-10,1.028386699262349e-10,9.089206517893162e-11,1.7697294202008404e-10,1.8573819278817495e-10,delta,1,0,0,0,0
Fp2,2.932884112284128e-08,1.5749311135185743e-09,3.576082702563855e-10,2.7373016537615825e-09,2.4598548636581244e-09,delta,1,0,0,0,0
Af7,2.7898107356513564e-08,2.0006582654921535e-09,2.599336191825813e-10,9.820147603475715e-10,9.103949329576433e-10,delta,1,0,0,0,0
Af3,1.1455149780316776e-08,9.424833815362717e-10,1.4720200688750364e-10,2.1954568791244058e-10,2.1010747946612722e-10,delta,1,0,0,0,0
Afz,7.492240209989692e-09,6.234866612245602e-10,1.1956583302211865e-10,2.0815444608819265e-10,1.183300440170856e-10,delta,1,0,0,0,0
F1,2.3509316622202543e-09,2.3247987481299935e-10,8.58573923062596e-11,2.106687979390448e-10,1.634860651874052e-10,delta,1,0,0,0,0
F5,1.3112394964690363e-08,1.0315540138827973e-09,1.5816621750678623e-10,2.5198330164632916e-10,3.0141415541448635e-10,delta,1,0,0,0,0
Ft7,5.125201243367106e-10,1.56753038144599e-10,1.705227879062434e-10,6.433682137941559e-10,8.285765138094647e-10,gamma,1,1,0,0,0
Fc3,8.373100517805485e-10,1.2900896108494283e-10,9.271263364208505e-11,4.863816453349099e-10,6.429272856108085e-10,delta,1,0,0,0,1
C1,2.2418964627201415e-10,5.442706929497487e-11,3.894529520861127e-11,7.561328066237106e-11,5.769389747610286e-11,delta,0,0,0,0,1
C5,1.8722586358259903e-10,1.091945897358397e-10,1.2439733542144534e-10,1.5585619643080905e-10,1.60785413661708e-10,delta,0,0,0,0,1
Tp7,7.390479804675635e-11,8.465264276424003e-11,1.0136414095196157e-10,1.8537390862770977e-10,2.2726835743722343e-10,gamma,0,1,1,0,0
Cp3,5.929000049669237e-11,4.2671286913702954e-11,4.756587992805662e-11,1.4320866663328574e-10,1.7185572207767062e-10,gamma,0,0,1,0,1
P1,2.1060599142179203e-13,1.515967082491564e-13,1.6008293728687706e-13,4.241367714030613e-13,3.6228229983101455e-13,beta,0,0,1,0,0
P5,6.503608024189506e-11,7.293351101477395e-11,7.294808367384038e-11,5.020233018588393e-11,3.736187607535158e-11,alpha,0,0,1,0,0
Po7,2.8895002619809706e-10,1.4097255496558542e-10,1.1529077045688234e-10,1.1621937720807725e-10,1.1413144634280428e-10,delta,0,0,0,1,0
I1,6.076080500222222e-10,1.5343509380882816e-10,1.0678256652520347e-10,8.979551019239185e-11,6.766171820146711e-11,delta,0,0,0,1,0
Poz,1.3967797856903792e-10,5.327569831875009e-11,3.890229400782483e-11,3.2077698843537867e-11,2.648142875412884e-11,delta,0,0,0,1,0
I2,6.19478781701863e-10,1.541091152153971e-10,1.0677694920558123e-10,8.77413647570843e-11,6.32391172941886e-11,delta,0,0,0,1,0
Po8,6.167950838723212e-10,1.5383812673292653e-10,1.0658978998065973e-10,8.744933682184175e-11,6.30502305290136e-11,delta,0,0,0,1,0
P6,1.1571783613224319e-10,9.927702243995958e-11,8.737118657861398e-11,5.324460050211482e-11,3.660649264111312e-11,delta,0,0,1,0,0
P2,9.794219478343438e-12,1.0575224487694936e-11,1.6097142139914527e-11,2.5218771492130656e-11,2.1182211318797445e-11,beta,0,0,1,0,0
Cpz,8.531034341446095e-13,4.510305010873866e-13,3.8643673696472933e-13,6.172522122303067e-13,4.448870113389811e-13,delta,0,0,1,0,1
Cp4,4.444372449934105e-11,4.1775040824793456e-11,5.000303078093216e-11,1.477620802246957e-10,1.5354287659257668e-10,gamma,0,0,1,0,1
Tp8,3.83961020013762e-10,1.57350970273805e-10,1.167864303262819e-10,1.6613384985767015e-10,1.3118962117084495e-10,delta,0,1,1,0,0
C6,5.727753673044736e-10,9.804487057700288e-11,8.913526470108993e-11,1.6526449957625356e-10,1.7165563075866522e-10,delta,0,0,0,0,1
C2,1.7691780844556564e-10,5.885028232266993e-11,6.441588168584059e-11,1.4463398989307376e-10,1.3326788581921883e-10,delta,0,0,0,0,1
Fc4,6.328804732825059e-10,1.0979641687574619e-10,9.740721723332917e-11,6.419820140806471e-10,7.44276210861146e-10,gamma,1,0,0,0,1
Ft8,6.656921825417956e-10,1.0140513687350247e-10,9.035611729521471e-11,1.7308433656971833e-10,1.8098757104952376e-10,delta,1,1,0,0,0
F6,1.512130006146985e-09,1.5848457767758146e-10,8.064988209453838e-11,1.8505653225465486e-10,1.4931633434781127e-10,delta,1,0,0,0,0
Af8,1.7574355217727407e-08,8.858711496359033e-10,3.311353360010611e-10,3.4159065057490324e-09,3.1351929685200577e-09,delta,1,0,0,0,0
Af4,8.269568750596604e-09,6.890046081926673e-10,1.3897705517729552e-10,6.030995695941101e-10,4.880134970757347e-10,delta,1,0,0,0,0
F2,1.8524916428187457e-09,1.942435387451365e-10,8.752716061717988e-11,3.0423894139814106e-10,2.5563646692797673e-10,delta,1,0,0,0,0
Fcz,7.113226412603566e-10,1.0762957558980598e-10,6.25296191440837e-11,1.190851500050837e-10,4.252193844686353e-11,delta,1,0,0,0,1
