Channel,delta,theta,alpha,beta,gamma,max_energy_band,Frontal Lobe,Temporal Lobe,Parietal Lobe,Occipital Lobe,Central Region
Ft10,1.1922456715475064e-10,3.2378176515778257e-11,3.0585107412736934e-11,5.5422743845390303e-11,5.5570049769794425e-11,delta,1,1,0,0,0
Fc6,2.3410332811151827e-10,2.8666097590923986e-11,2.3260083004643794e-11,6.760817251588816e-11,8.291762875245867e-11,delta,1,0,0,0,1
Fc2,2.0412908093590896e-10,1.9896352776846192e-11,1.4794545275432883e-11,4.423347434050262e-11,5.452121230224863e-11,delta,1,0,0,0,1
F4,7.449994172559487e-10,4.9553499209175175e-11,2.3157392316681116e-11,6.098528193917794e-11,7.163584201365905e-11,delta,1,0,0,0,0
F8,2.2062723671178516e-08,2.099522200982681e-09,4.025061528331945e-10,2.6019360760717267e-10,9.648074530432163e-11,delta,1,0,0,0,0
Fp2,5.8897152654644074e-09,3.4592643254938966e-10,4.534280314117567e-11,6.135251982202878e-11,6.336949036403127e-11,delta,1,0,0,0,0
Af7,2.922057236587757e-09,1.8633997202770676e-10,3.630135547413053e-11,5.1116340910852084e-11,7.196340383762844e-11,delta,1,0,0,0,0
Af3,1.4263961908564752e-09,8.914339558151804e-11,2.3179831842821697e-11,2.4887687445370324e-11,2.2170796391459622e-11,delta,1,0,0,0,0
Afz,1.3912472394028077e-09,8.583036130019754e-11,2.1917518052516313e-11,1.8282669293785373e-11,1.2127573163971298e-11,delta,1,0,0,0,0
F1,4.856660885132929e-10,3.5682235338630085e-11,1.6055476716073393e-11,1.7382230010380632e-11,1.3058330844354e-11,delta,1,0,0,0,0
F5,6.995675995854436e-10,4.8896910203264805e-11,2.1495167430876512e-11,3.7874156286051543e-11,4.0496886715506126e-11,delta,1,0,0,0,0
Ft7,1.8124454357668363e-10,2.6505880051753544e-11,2.3375970283720486e-11,4.642932626054438e-11,4.912624530135135e-11,delta,1,1,0,0,0
Fc3,2.573044836824806e-10,2.3347507877112056e-11,1.5491744125978542e-11,2.7801875652752694e-11,2.988407646902635e-11,delta,1,0,0,0,1
C1,5.62033827380448e-11,9.053143748503386e-12,7.025451137365791e-12,7.675564989807437e-12,4.302298952062841e-12,delta,0,0,0,0,1
C5,6.182297383885725e-11,1.686827970273892e-11,1.7185355569268895e-11,2.969192098953604e-11,2.9407030799083197e-11,delta,0,0,0,0,1
Tp7,9.184055557925807e-11,2.4925860469988003e-11,2.69070585813128e-11,4.801733488571116e-11,4.9636983338868955e-11,delta,0,1,1,0,0
Cp3,3.2220996380186504e-11,7.477568035809225e-12,6.684337396524368e-12,9.89242670070388e-12,8.769451691917774e-12,delta,0,0,1,0,1
P1,1.1077824960009949e-11,1.6221271623644254e-12,1.6540286406455003e-12,2.3956768481967264e-12,1.6490994178984117e-12,delta,0,0,1,0,0
P5,2.573819457505098e-11,1.6103705012309844e-11,1.7097147379834014e-11,2.895007863488595e-11,3.138464399031222e-11,gamma,0,0,1,0,0
Po7,7.135031573648323e-11,3.145045414750291e-11,3.222486686422882e-11,7.431118015426327e-11,8.25899023073277e-11,gamma,0,0,0,1,0
I1,2.64275034849415e-10,5.136457233868287e-11,3.9949532610739334e-11,5.7429295141317975e-11,3.412693721019148e-11,delta,0,0,0,1,0
Poz,5.1689231872938635e-11,8.556881804057985e-12,6.166995777630191e-12,7.278715696785124e-12,4.884188036300057e-12,delta,0,0,0,1,0
I2,2.299160048656264e-10,2.92173432992945e-11,2.2887590646537753e-11,3.4935544479866884e-11,2.6615225148331333e-11,delta,0,0,0,1,0
Po8,8.93703080934281e-11,2.0103041161779698e-11,2.0388352493298114e-11,3.958273712007103e-11,4.3929877133386374e-11,delta,0,0,0,1,0
P6,3.657791426302091e-11,1.6216042583956166e-11,1.7989468835791466e-11,1.627393427959505e-11,1.3674090482230699e-11,delta,0,0,1,0,0
P2,5.7733347041452e-12,2.843981054135954e-12,3.1136672940067817e-12,3.109696188313219e-12,2.2888868183815548e-12,delta,0,0,1,0,0
Cpz,1.2130428937828078e-11,2.5264273778882734e-12,1.992582386529863e-12,2.131028999144344e-12,1.1067949224521662e-12,delta,0,0,1,0,1
Cp4,3.1335975710417744e-11,1.2226159069967242e-11,1.1640969769872848e-11,2.515092943340934e-11,2.983916934697391e-11,delta,0,0,1,0,1
Tp8,6.779764831951048e-11,2.359616297279684e-11,2.866025509448603e-11,4.504548289844489e-11,4.517920195279638e-11,delta,0,1,1,0,0
C6,6.948477594961446e-11,1.7282685370106594e-11,1.8530035468784237e-11,6.385160595405345e-11,7.111674558960669e-11,gamma,0,0,0,0,1
C2,6.72990034890912e-11,1.0214983339688813e-11,8.125849029471996e-12,1.4520346857733872e-11,1.4144808534080992e-11,delta,0,0,0,0,1
Fc4,2.073033139596843e-10,2.0140822397870744e-11,1.5233840576726478e-11,4.780695097611783e-11,5.98056406513891e-11,delta,1,0,0,0,1
Ft8,1.6492883590052233e-08,1.5677373029194944e-09,3.048825008286927e-10,2.0670808841291585e-10,8.841144744938386e-11,delta,1,1,0,0,0
F6,8.321808620961188e-10,5.3979491499064224e-11,2.7360661242501493e-11,9.13019935205892e-11,9.479141814175342e-11,delta,1,0,0,0,0
Af8,2.814322023583624e-08,2.565400945402205e-09,4.762780683717313e-10,3.0153848089683907e-10,9.67412547682351e-11,delta,1,0,0,0,0
Af4,2.0748157924741958e-09,1.2233113712405552e-10,2.959441612709849e-11,6.441623911650128e-11,6.311788096856001e-11,delta,1,0,0,0,0
F2,5.310356593580494e-10,3.738076222025153e-11,1.7410389763130043e-11,3.003591019187783e-11,2.982892618732112e-11,delta,1,0,0,0,0
Fcz,2.0610132658513893e-10,2.0122834024914614e-11,1.2429594016986502e-11,1.3021707381774748e-11,7.125492753998368e-12,delta,1,0,0,0,1
