Channel,delta,theta,alpha,beta,gamma,max_energy_band,Frontal Lobe,Temporal Lobe,Parietal Lobe,Occipital Lobe,Central Region
P1,7.949579833737685e-12,3.980646028895631e-12,3.1005384668204265e-12,3.837062170948904e-12,2.354614962439159e-12,delta,0,0,1,0,0
P5,2.1326897347123666e-11,1.4849385175601286e-11,1.0990282499374972e-11,1.1107687719211881e-11,6.207787543301501e-12,delta,0,0,1,0,0
Po7,2.7018057751026576e-11,2.5092786854322124e-11,1.6540298067954677e-11,2.0344968060848207e-11,1.0375592409480003e-11,delta,0,0,0,1,0
I1,4.780772947525133e-11,3.766990035467057e-11,2.3844809578112122e-11,4.3019873811491453e-11,2.3411825431295038e-11,delta,0,0,0,1,0
Poz,1.871572245428019e-11,1.3709129602748852e-11,8.118800987350681e-12,1.3407877716665211e-11,8.877986939478265e-12,delta,0,0,0,1,0
I2,4.4977789840796205e-11,3.8436657225062714e-11,2.5912313886481163e-11,5.4805127774813825e-11,3.317117788622259e-11,beta,0,0,0,1,0
Po8,2.5239650493182025e-11,2.4401315381504252e-11,1.495980273054658e-11,2.066836453238506e-11,1.660524694876063e-11,delta,0,0,0,1,0
P6,2.8388071781726207e-11,3.295232247615861e-11,1.895204551290024e-11,3.104532628187473e-11,1.8582723156960585e-11,theta,0,0,1,0,0
P2,5.549709905477028e-12,3.3854219166664076e-12,2.5609341594305675e-12,3.692282707050307e-12,2.1357696709066896e-12,delta,0,0,1,0,0
Cpz,2.3002639209933938e-11,1.194473651941588e-11,5.3865100876667e-12,5.96323399495877e-12,3.132109850456637e-12,delta,0,0,1,0,1
Cp4,2.3185208229450902e-11,1.6948219208558686e-11,1.3286086819412114e-11,2.2638709767958365e-11,1.507648431992463e-11,delta,0,0,1,0,1
Tp8,3.843419430504651e-11,8.129574024166028e-11,4.59910667601275e-11,1.1914963493754306e-10,6.418719287514113e-11,beta,0,1,1,0,0
C6,5.431748425759289e-11,3.770291489963768e-11,2.5742379268489078e-11,6.437256587944877e-11,5.1300527075165625e-11,beta,0,0,0,0,1
C2,9.321667962646524e-11,3.3282419670510466e-11,1.5470040201096715e-11,2.2427059901221887e-11,1.5286151010983347e-11,delta,0,0,0,0,1
Fc4,1.765353733992919e-10,1.1099383279472093e-10,4.656136528571772e-11,2.5695557749319774e-10,3.05778035262231e-10,gamma,1,0,0,0,1
Ft8,6.949068761104566e-11,7.282005941716174e-11,3.786646599427293e-11,1.0623760243087365e-10,7.794460508769401e-11,beta,1,1,0,0,0
F6,4.1764802679827777e-10,1.1586841660291971e-10,4.3907300765766425e-11,1.78247790373481e-10,2.1279967766801777e-10,delta,1,0,0,0,0
Af8,1.3332430440386326e-09,3.488734429606047e-10,7.063814666134706e-11,1.2525979768892807e-10,1.4959415282540855e-10,delta,1,0,0,0,0
Af4,1.9307361441264327e-09,4.92159051154972e-10,9.179367868405856e-11,5.905055175466641e-11,5.906051960666469e-11,delta,1,0,0,0,0
F2,5.577764839565373e-10,1.5112979498376453e-10,4.45812064703135e-11,5.357006344693986e-11,4.738031689170389e-11,delta,1,0,0,0,0
Fcz,2.1837493042871285e-10,7.575265285650739e-11,2.898284478046908e-11,3.359541098616402e-11,1.8805872991170894e-11,delta,1,0,0,0,1
