Channel,delta,theta,alpha,beta,gamma,max_energy_band,Frontal Lobe,Temporal Lobe,Parietal Lobe,Occipital Lobe,Central Region
Af3,1.2734948146127896e-10,5.6344856670912334e-11,1.594823392376751e-10,1.2698584710641174e-09,9.235433668872081e-10,beta,1,0,0,0,0
Afz,1.6921811144158653e-10,5.2634851123736305e-11,7.61868232079962e-11,1.1057721773877621e-10,4.759038949202563e-11,delta,1,0,0,0,0
F1,7.210362132320398e-11,3.5391138356306825e-11,7.856653706105547e-11,5.1002462002379454e-11,9.144105215997563e-12,alpha,1,0,0,0,0
F5,7.22275838224088e-11,3.5369592048197843e-11,7.856937904764641e-11,5.102492918189896e-11,9.16263691764248e-12,alpha,1,0,0,0,0
Ft7,1.2556296760507067e-10,6.464415614819297e-11,1.2120895330551735e-10,1.1251219112799229e-10,5.1830605588159114e-11,delta,1,1,0,0,0
Fc3,1.828788175509387e-11,1.0326301704878633e-11,2.95731323492133e-11,3.07785497189409e-11,1.0520155183775961e-11,beta,1,0,0,0,1
C1,1.6616456697688198e-11,7.33171159092621e-12,2.374984522279214e-11,2.1176115000122217e-11,3.588836666016193e-12,alpha,0,0,0,0,1
C5,5.715486547350622e-11,1.9609225374806165e-11,6.797110297728779e-11,6.181145524546572e-11,3.966337647431081e-11,alpha,0,0,0,0,1
Tp7,8.250585471634771e-11,2.6873904780687367e-11,9.42746362282582e-11,6.636737251903648e-11,2.1989009105966227e-11,alpha,0,1,1,0,0
Cp3,8.38662330744376e-12,4.750827526977925e-12,1.8395531631969446e-11,1.6017146054398907e-11,8.131985601346263e-12,alpha,0,0,1,0,1
P1,6.996623888296542e-14,9.010797984574455e-14,1.2007093258505148e-13,3.864260978341387e-13,3.464038242013359e-13,beta,0,0,1,0,0
P5,8.166696146955504e-11,2.6685141439521213e-11,9.355017217620127e-11,6.57644495836313e-11,2.1694039239296136e-11,alpha,0,0,1,0,0
Po7,8.172419031113164e-11,2.6689174331365175e-11,9.353690606358738e-11,6.572608760430339e-11,2.1703119218774994e-11,alpha,0,0,0,1,0
I1,4.252289087635723e-12,2.2751836136231825e-12,7.500739021539977e-12,6.4575745243664e-12,2.409789677854604e-12,alpha,0,0,0,1,0
Poz,7.780313748967444e-14,1.1138053264530804e-13,1.481975083614397e-13,4.298361609869353e-13,3.897219608841697e-13,beta,0,0,0,1,0
I2,4.307635793247281e-12,2.3120344064608956e-12,7.621801915791272e-12,6.59070957305162e-12,2.4454309954597734e-12,alpha,0,0,0,1,0
Po8,4.190296906139449e-12,2.2513599538320917e-12,7.438228525971874e-12,6.414563208488415e-12,2.3823122887877226e-12,alpha,0,0,0,1,0
P6,4.177304663217973e-12,2.2541331429868465e-12,7.429993373499035e-12,6.43979711228511e-12,2.39103396376086e-12,alpha,0,0,1,0,0
P2,2.3408430808218596e-12,1.62887558176815e-12,6.7812728413249105e-12,6.6181344703041025e-12,1.682519196750324e-12,alpha,0,0,1,0,0
Cpz,3.5590323059545247e-13,1.9794433033497132e-13,5.601931372858789e-13,8.666433911831403e-13,5.438230199202864e-13,beta,0,0,1,0,1
Cp4,6.224439766282114e-11,3.674686945499044e-11,1.3999663820458324e-10,9.210242172840008e-11,3.26360340409369e-11,alpha,0,0,1,0,1
Tp8,6.227976842636537e-11,3.690318415773134e-11,1.400727567578022e-10,9.231570421547519e-11,3.273734575896522e-11,alpha,0,1,1,0,0
C6,6.261476380295848e-11,3.680152694466007e-11,1.3984313318593676e-10,9.233423252127652e-11,3.288395196817781e-11,alpha,0,0,0,0,1
C2,1.656249057127937e-11,9.228231657926194e-12,3.4842782836512725e-11,2.735965737300619e-11,5.13405727679111e-12,alpha,0,0,0,0,1
Fc4,2.6834790444741894e-11,1.5168625098174654e-11,4.9626069015508124e-11,4.154710632542278e-11,7.945358038188087e-12,alpha,1,0,0,0,1
Ft8,7.59862618756881e-11,5.182820420958993e-11,1.538432636026873e-10,8.857427908920668e-11,3.22926718796202e-11,alpha,1,1,0,0,0
F6,9.694034845123372e-11,4.987161241850601e-11,1.0793489424336144e-10,6.916129304035022e-11,1.7409180673571447e-11,alpha,1,0,0,0,0
Af8,2.348005568013105e-10,8.151669174570687e-11,1.169108130123148e-10,1.5422770712875425e-10,8.859397361628211e-11,delta,1,0,0,0,0
Af4,1.649358086577519e-10,5.221204429641053e-11,1.0207555966707351e-10,5.002083471430979e-10,3.0919365478994146e-10,beta,1,0,0,0,0
F2,8.596145249202532e-11,4.365397924090312e-11,9.52642786800591e-11,6.056477355767052e-11,1.3187927988020292e-11,alpha,1,0,0,0,0
Fcz,2.6827425922292256e-11,1.5187678996913426e-11,4.958671142668196e-11,4.1522057229687526e-11,7.904112083943103e-12,alpha,1,0,0,0,1
